role,starting_salary,starting_salary_hr_yr,year_starting_salary,ending_salary,ending_salary_hr_yr,Hourly(H)_Permanent(P)_Contingent(C),year_ending_salary,years_experience,gender,ethnicity,degrees_required
Editorial,25000,yr,2018,25000,yr,HC,2019,,female,white,
Editorial,38000,yr,2018,38000,yr,C,2019,,,,
other,15,hr,,15,hr,C,2016,,,,
Assistant Curator,20,hr,2016,21.15,hr,HP,2019,3,female,,MA
Education,32000,yr,,44000,yr,P,2019,,,,
other,33000,yr,2018,33000,yr,C,2019,10,,white,MA
Assistant Curator,35000,yr,,35000,yr,P,2009,,,,
Director,0,yr,2015,7200,yr,,2019,10,,,
Manager,50000,yr,,50000,yr,P,2018,2,,,
Assistant,35000,yr,,35000,yr,P,2013,,,,
Visitor Experience,15,hr,2018,10,hr,H,2019,1,,,MA
Education,15,hr,2015,17.54,hr,H,2019,8,female,white,BA required MA preferred
Curator,85000,yr,,91000,yr,P,2015,,male,white,
Assistant Curator,55000,yr,,57750,yr,P,2013,3,male,white,
Education,15,hr,,,,HP,2019,,female,,
Assistant Curator,48000,yr,,49000,yr,P,2019,5,,,
Manager,54000,yr,2013,,,P,2017,14,,,
Education,15,hr,2017,16,hr,HP,2019,2,female,asian,BA
Educator,36000,yr,2015,36000,yr,H,2016,3,female,white,BA required MA preferred
Coordinator,19.5,hr,2017,,,H,2017,2,male,white,BA required MA preferred
Teacher,55,hr,,,,H,,,,,
Academic,71,hr,2017,71,hr,C,2019,5,male,white,MA
Curator,32000,yr,2015,36000,yr,P,2017,3,,,MA
Assistant Curator,18928,yr,2010,37560,yr,C,2019,10,male,white,BA
Coordinator,37000,yr,2017,37000,yr,P,2017,7,female,white,BA
Coordinator,40000,yr,2018,40000,yr,P,,,female,latino,BA
Assistant Director,50000,yr,2018,50000,yr,P,2019,4,female,white,BA
Registrar,50000,yr,2017,60000,yr,P,2019,9,female,,BA
Manager,,,,80000,yr,P,2019,10,female,white,
Assistant,21.5,hr,,21.5,hr,H,2019,,,,
Intern,11,hr,,11,hr,H,2018,,,,
Gallery Assistant,19,hr,,,,H,2019,,,,
Assistant,32000,yr,2017,42000,yr,H,2019,3,female,white,
Assistant Registrar,,,,20000,yr,C,2004,10,male,white,
Curator,38000,yr,2012,59000,yr,P,2019,13,male,white,BA required MA preferred
Manager,50000,yr,2017,51500,yr,P,2019,7,female,white,BA
Assistant Curator,34000,yr,,39750,yr,H,2019,,female,,
Assistant Curator,37000,yr,,38100,yr,H,2019,,female,white,
Coordinator,34000,yr,,34000,yr,,2019,2,female,white,BA
Coordinator,38000,yr,2015,39500,yr,P,2018,4,female,white,BA required MA preferred
Assistant Curator,33500,yr,2015,36000,yr,H,2018,2,female,,
Intern,13,hr,2019,13,hr,H,2019,1,female,poc,MA
Coordinator,30721,yr,,34320,yr,H,2019,10,female,white,HS
Manager,35000,yr,2017,39000,yr,P,2019,3,male,white,BA
Communications,35000,yr,2013,42000,yr,P,2017,4,male,white,BA
Sales,10.3,hr,2015,11.15,hr,HP,2019,,other,white,
Visitor Experience,11856,yr,2018,12480,yr,H,2019,2,male,white,HS
Visitor Experience,12,hr,2017,,,H,2018,3,female,white,BA
other,18000,yr,2017,18000,yr,H,2019,5,female,white,MA
Educator,10000,yr,2017,10000,yr,H,,2,male,white,BA
Coordinator,40000,yr,2018,40000,yr,H,2019,4,,,BA
Coordinator,39999,yr,2016,41000,yr,P,2019,5,female,white,MA
Curator,96970,yr,2018,102477,yr,P,2019,27,female,white,MA
Curator,40000,yr,2018,40000,yr,C,2019,0,,,BA
Visitor Experience,11,hr,2018,12.2,hr,H,2019,,female,white,HS
Manager,43000,yr,2018,43000,yr,P,2019,4,female,white,MA
Technical,14,hr,2016,21,hr,H,2019,3,,,BA
Assistant Curator,38700,yr,2019,38700,yr,P,2019,2,female,white,MA
Education,75,hr,2015,75,hr,H,2019,9,female,white,MA
Coordinator,41000,yr,2014,43000,yr,P,2018,16,female,white,MA
Communications,15,hr,2018,15,hr,H,2019,,female,,BA
Director,60000,yr,2014,70000,yr,C,2018,,female,white,
Communications,35000,yr,2014,51000,yr,C,2019,,female,white,
Manager,15.25,hr,2018,15.25,hr,H,2019,1,female,white,HS
Visitor Experience,11.5,hr,2018,12.5,hr,H,2019,8,female,white,No degree
Conservator,20,hr,2010,20,hr,H,2019,19,female,white,
Assistant Manager,44000,yr,2014,52000,yr,P,2018,8,female,mixed,MA
Coordinator,45000,yr,2016,48000,yr,HP,2019,8,,white,None required BA preferred
Communications,50000,yr,,50000,yr,P,2016,1,male,asian,BA
Curator,30000,yr,,30000,yr,P,2017,2,male,asian,BA
Admin,32256,yr,2016,34560,yr,H,2019,4,female,,
Manager,102000,yr,2017,115000,yr,P,2019,5,male,white,No degree
Curator,90000,yr,2014,100000,yr,P,2019,15,,,
Coordinator,60,hr,2018,60,hr,C,2019,10,female,white,
Coordinator,36400,yr,2016,37870,yr,H,2019,3,,,BA
other,40000,yr,2010,50000,yr,C,2019,14,,,BA
Coordinator,40000,yr,2016,41000,yr,,2019,,,,
Coordinator,40000,yr,2016,41000,yr,,2019,,,,
Assistant,15,yr,2013,,,C,2013,5,,,MA
Manager,60000,yr,2015,65000,yr,,2019,,,,
Coordinator,40000,yr,2016,42000,yr,H,2019,5,female,white,BA required MA preferred
Assistant,30940,yr,2017,31486,yr,H,2019,11,female,white,MA
Conservator,55000,yr,2015,55000,yr,C,2015,12,female,white,MA
Assistant Curator,70000,yr,2017,74000,yr,P,2019,5,female,white,MA
Conservator,30000,yr,,102000,yr,C,2019,,female,white,MA
Assistant Curator,52000,yr,,64000,yr,P,2018,,female,,
Assistant Registrar,48235,yr,2018,61984,yr,H,2019,,female,,MA
Coordinator,59722,yr,2012,70000,yr,H,2016,10,,,
Assistant Curator,44000,yr,2013,74000,yr,,,,,,
Conservator,57000,yr,2007,118000,yr,P,2019,19,female,white,MA
Assistant Curator,70000,yr,2017,74000,yr,P,2019,9,female,white,MA
Manager,64000,yr,2016,78600,yr,P,2019,15,female,mixed,MA
Teacher,22,hr,2012,26.5,hr,H,2019,7,female,,MA
Assistant Curator,64000,yr,2019,64000,yr,P,2019,0,female,white,MA
Intern,0,yr,2018,0,yr,unpaid,2018,1,,,
Director,32000,yr,,36000,yr,,2019,5,female,white,MA
Education,31000,yr,2019,31000,yr,H,2019,,female,white,
Manager,13,hr,2016,13.5,hr,H,2018,3,female,,BA
Visitor Experience,15,hr,2019,15,hr,H,2019,0,male,white,
Communications,30,hr,2015,75,hr,H,2019,10,female,white,PhD
Photographer,,,,225,hr,Freelance,2019,,female,white,
Photographer,5000,yr,2016,25000,yr,Freelance,2019,4,,,No degree
Assistant,19,hr,,,,,,1,,,
Communications,25000,yr,2016,28550,yr,HP,2019,3,male,white,
Relations,45000,yr,2016,53000,yr,P,2019,4,female,mixed,BA
Visitor Experience,14,hr,2017,15,hr,H,2019,6,female,,
Intern,13.5,hr,2018,,,,2018,2,,,
Assistant,35000,yr,2017,50000,yr,P,2019,2,female,white,BA
Editor,35000,yr,,35000,yr,P,2014,,female,white,
Intern,11,hr,2017,,,H,2017,,female,,
Registrar,40000,yr,2013,70000,yr,P,2019,3,female,white,MA
Assistant,35000,yr,2017,,,P,,4,,,MA
Intern,9,hr,2014,,,H,2014,,female,,
Assistant,15,hr,2018,15,hr,P,2019,4,female,white,BA
Intern,0,yr,,0,yr,,2015,,,,
Security,9.23,hr,,9.23,hr,H,2019,1,male,white,HS
Assistant Curator,65000,yr,,68500,yr,C,2019,4,female,white,PhD
Assistant,32000,yr,2011,39000,yr,P,2016,8,female,,BA
Manager,50000,yr,2011,61500,yr,P,2019,25,female,white,
Assistant Curator,46800,yr,2015,48500,yr,HC,2019,6,female,white,BA required MA preferred
Assistant Curator,44500,yr,,49000,yr,HC,2019,8,female,white,MA
Admin,33590,yr,2016,42975,yr,H,2019,,female,,
Assistant Curator,45400,yr,2006,81000,yr,P,2019,16,,,PhD
Education,42400,yr,2006,54900,yr,H,2019,13,,,MA
Technical,52000,yr,2013,60000,yr,C,2014,7,female,white,MA
Assistant,38472,yr,2015,39600,yr,C,,3,,,BA
Intern,30000,yr,2017,,,C,2018,10,female,white,MA
Assistant Curator,64500,yr,,,yr,C,2019,,,,MA
Designer,47000,yr,2016,47000,yr,C,2017,,female,asian,
Curator,,,,92000,yr,P,,20,,,PhD
other,47000,yr,2015,65000,yr,P,2019,10,,,BA required MA preferred
Assistant Curator,45050,yr,2015,49700,yr,HC,2019,9,female,,MA
Librarian,22,hr,,22,hr,HC,2016,,,,
Assistant,,,,20.29,hr,HC,2019,,female,white,
Technical,47000,yr,2017,50225,yr,C,2019,5,female,,MA
Archivist,59500,yr,2018,59500,yr,P,2019,7,,,MLIS
Archivist,52000,yr,2019,52000,yr,C,2019,5,female,,MLIS
Archivist,52000,yr,2015,56500,yr,P,2019,,,,
Assistant,20.49,hr,2017,20.9,hr,HC,2018,10,female,white,BA
Librarian,59000,yr,2019,59680,yr,P,2019,7,female,white,MLIS
Technical,23.8,hr,2018,23.8,hr,HC,2019,10,female,white,BA
Assistant Curator,,,,74000,yr,P,2017,10,male,,
Manager,50000,yr,2018,50000,yr,P,2018,5,male,white,BA
Registrar,50000,yr,,50000,yr,P,,,male,white,
Intern,9,hr,2017,9,hr,H,2017,5,,,
Technical,36000,yr,,37080,yr,P,2019,,female,,
Visitor Experience,33500,yr,,34000,yr,H,2019,,,,
Curator,12000,yr,2018,15000,yr,C,2019,9,female,white,MA
Curator,36000,yr,2012,,,H,2019,5,male,white,No degree
Manager,29000,yr,2018,35000,yr,P,2019,1,male,white,BA
Assistant Curator,28500,yr,2015,35000,yr,P,2018,3,female,,MA
Assistant Curator,39500,yr,2019,39500,yr,P,2019,5,female,white,MA
Assistant,10,hr,2018,10,hr,H,2018,5,female,white,MA
Director,5000,yr,1991,24720,yr,P,2019,28,female,white,
Director,40000,yr,2018,40000,yr,P,2019,4,female,white,MA
Visitor Experience,8,hr,2019,8,hr,H,2019,1,,,HS
Assistant Registrar,36000,yr,2016,37740,yr,P,2019,5,female,,
Curator,20000,yr,,100000,yr,,2018,,,,
Manager,75000,yr,,80000,yr,,2017,,male,,
Curator,,,,68000,yr,P,2019,,,white,MA
Manager,54000,yr,,58500,yr,P,2019,,,,
Assistant Manager,55000,yr,,56100,yr,P,2019,,,white,
Assistant Curator,45000,yr,,51714,yr,P,2019,,female,white,
Assistant Manager,40000,yr,,49500,yr,P,2016,4,,,
Coordinator,28000,yr,,32000,yr,,2008,,,,
Art Handler,25,hr,2015,30,hr,HC,2018,4,female,poc,
Intern,,,,,,,,,,,
Coordinator,42000,yr,2017,48,hr,HP,2019,,,,
Assistant,30000,yr,2013,,yr,P,2014,2,female,white,BA
Manager,37000,yr,2008,49000,yr,P,2014,7,female,white,MA
Manager,57000,yr,2013,60000,yr,P,2015,6,female,white,
Assistant Curator,,,,18.25,hr,HP,2019,1,,,MA
Visitor Experience,32000,yr,2017,34000,yr,HP,2019,4,female,white,BA
Intern,500,yr,,,,unpaid,2014,1,,,
Conservator,43000,yr,2016,48000,yr,C,2019,3,,,MA
Assistant,30000,yr,2004,30000,yr,C,2004,2,female,latino,MA
Manager,47000,yr,2017,58500,yr,,2019,5,,,BA required MA preferred
Coordinator,29000,yr,2017,38000,yr,P,2019,4,male,white,BA
Intern,0,yr,2011,0,yr,,2012,1,female,white,BA
Assistant,15,hr,,,,HC,2019,0,other,white,No degree
Visitor Experience,11,hr,,12,hr,H,2019,2,,,
Assistant Curator,50000,yr,2014,54000,yr,HP,2017,,,,
Manager,,,,52000,yr,H,2017,,female,white,
Assistant Curator,40000,yr,2010,48500,yr,HP,2014,,,,
Assistant Curator,44500,yr,,44500,yr,H,2019,,female,,
Assistant,,,,35000,yr,HP,2009,,,,
Assistant Curator,30000,yr,,30000,yr,,2005,,female,asian,
other,57000,yr,,,,P,2019,6,female,white,
Curator,68989,yr,2008,96082,yr,P,2016,20,,,
Curator,41600,yr,2019,41600,yr,C,2019,6,female,mixed,BA
Communications,54000,yr,2019,54000,yr,C,2019,,,,
Curator,30000,yr,2013,32000,yr,P,2019,7,female,white,MA
Assistant Curator,59000,yr,,60928.56,yr,C,2019,4,female,white,MA
Curator,50000,yr,,51250,yr,C,2019,,female,white,
Assistant Curator,,,,51000,yr,P,2019,,female,white,
Curator,100000,yr,,,,,2016,,female,poc,
Assistant Curator,59442,yr,2018,60185,yr,P,2019,11,,,MA
Security,29718,yr,2014,31543,yr,H,2016,4,female,white,HS
Assistant,51000,yr,2018,53000,yr,P,2019,4,female,white,BA
Teacher,17,hr,2013,,,H,2014,2,female,white,MA
Assistant,43000,yr,,52000,yr,H,2017,1,,,BA
Assistant Curator,46000,yr,2018,47000,yr,HP,2019,3,female,white,
Conservator,47000,yr,2007,65000,yr,C,2016,10,female,white,MA
Manager,66000,yr,2017,73000,yr,H,2019,15,female,white,BA
Assistant,45200,yr,2017,52900,yr,H,2019,3,female,white,BA required MA preferred
Technical,64000,yr,2017,64000,yr,P,2019,10,,,
Visitor Experience,,,,,,H,2019,10,,,No degree
Curator,45000,yr,2000,48000,yr,P,2018,,female,white,MA
Designer,35000,yr,2011,36000,yr,P,2016,5,female,white,BA
Curator,41000,yr,2017,41000,yr,P,2018,3,,,
Assistant Curator,46000,yr,,56000,yr,P,2017,14,female,white,
Manager,31000,yr,,31000,yr,P,2019,,female,white,
Assistant Curator,41600,yr,2016,45760,yr,HP,2018,4,female,white,BA
Coordinator,26500,yr,2005,27500,yr,P,2009,4,female,poc,BA
Technical,48108,yr,2008,72842,yr,P,2019,30,female,white,MA
Coordinator,20000,yr,2017,20000,yr,C,,14,female,white,MA
Manager,10,hr,2014,12,hr,H,2017,10,female,white,HS
Director,115000,yr,2018,,,P,2019,11,female,white,MA
Communications,,,,55000,yr,P,2019,5,female,white,BA
Librarian,,,,43500,yr,,2019,5,,,
Assistant,32000,yr,2014,40278,yr,HP,2019,6,female,,BA
Assistant Registrar,43200,yr,,43628,yr,P,2019,,female,,
Curator,,,2018,,yr,C,,7,female,white,MA
Registrar,20000,yr,2004,20000,yr,C,2004,10,,,
Education,13,hr,,13,hr,H Part Time,2019,5,female,white,BA
Manager,20,hr,2013,25,hr,H,2017,2,female,,MA
Director,51000,yr,2017,51000,yr,P,2019,5,female,,MA
Manager,34000,yr,2015,36000,yr,P,2018,8,female,white,BA
Assistant,30000,yr,2016,30000,yr,P,2017,1,female,,BA
Intern,0,yr,,0,yr,,2019,,,,
other,1440,yr,2011,57600,yr,C,2019,10,female,,
Curator,,,,61000,yr,P,2019,,,,
Conservator,61000,yr,2018,61000,yr,P,2019,2,female,white,MA
Registrar,20,hr,2010,22,hr,H,,12,,,
Registrar,20,hr,2017,22,hr,H,2019,35,male,,BA
Assistant,16.25,hr,2015,18.5,hr,H,2019,3,female,white,MA
Registrar,40000,yr,2017,43000,yr,P,2019,7,female,,
Manager,40000,yr,2018,40000,yr,C,2019,7,other,white,MA
Coordinator,37000,yr,2017,38000,yr,H,2019,5,female,latino,
Writer,,,2017,12.5,hr,C,2018,,,,
Art Handler,35,hr,2016,45,hr,C,2018,3,male,white,
Assistant Curator,40000,yr,2004,42000,yr,P,2007,,,,
Intern,0,yr,,0,yr,,2015,2,,,
Intern,0,yr,,0,yr,,2018,,,,
Manager,,,,28000,yr,P Full Time,2014,3,female,white,BA
Artist,,,,8000,yr,,2018,39,male,white,MA
Curator,46000,yr,2015,53000,yr,P,2019,8,other,white,MA
Curator,59000,yr,2015,63000,yr,P,2019,22,,,
Designer,35000,yr,,42000,yr,P,2019,8,female,mixed,
Designer,30000,yr,2016,37000,yr,P,2019,3,female,poc,BA
Assistant Curator,65000,yr,2016,69000,yr,P,2019,6,,,MA
Technical,52000,yr,2014,60000,yr,P,2016,10,,,
Manager,55000,yr,2017,57200,yr,P,2019,6,female,white,
Intern,0,yr,,0,yr,,2019,,,,
Technical,12,hr,,12,hr,H Part Time,2019,1,,,
Curator,43000,yr,,43000,yr,C,2019,,,,
Art Handler,21000,yr,2018,21000,yr,H,2019,5,female,white,
Visitor Experience,11,hr,2018,12,hr,H,2019,1,female,,
Manager,46000,yr,,49500,yr,P,2019,20,,,
Visitor Experience,,,,40000,yr,P,2019,2,,,
Intern,1000,yr,,1000,yr,unpaid,2018,,,,
Intern,1000,yr,,1000,yr,unpaid,2018,1,female,poc,
Visitor Experience,,,,,,H,,3,,,
Curator,31500,yr,,32051,yr,HC,2018,,male,,
Registrar,45000,yr,,,,,2019,18,female,white,
Assistant Curator,42000,yr,,48000,yr,P,2019,,female,,
Assistant Curator,28000,yr,,33000,yr,HP,2015,,female,,
Registrar,16,hr,2017,20,hr,H,2019,17,other,white,No degree
Assistant,17,hr,2018,17,hr,HC,2018,,female,white,BA
Admin,54972,yr,2017,56472,yr,P,2019,2,male,white,
Conservator,35000,yr,2006,45000,yr,P,2009,3,female,white,MA
Admin,41000,yr,2018,46500,yr,P,2019,0,female,,
Manager,52000,yr,,53040,yr,,2019,,female,,
Assistant Educator,36000,yr,,36000,yr,,2019,,male,white,
Writer,35000,yr,,35000,yr,,2008,,female,,
Academic,26500,yr,,26500,yr,,2006,,female,,
Coordinator,47000,yr,2015,47000,yr,P,2017,3,female,,
Assistant Educator,42000,yr,,42000,yr,P,2019,,,,BA
Assistant,26325,yr,2015,28740.04,yr,H,,10,female,poc,BA
Coordinator,40000,yr,2016,42000,yr,H,2017,,,,
Conservator,,,,73000,yr,P,2019,20,female,white,MA
Research,50000,yr,2018,50000,yr,P,2019,21,,,
Technical,37000,yr,2012,39000,yr,P,2012,1,female,white,
Assistant,37752,yr,2019,39104,yr,H,2019,5,female,white,BA
Intern,30000,yr,2018,30000,yr,C,2019,7,female,white,PhD
Assistant Curator,71000,yr,2016,85000,yr,P,2019,10,female,white,PhD
Editor,44000,yr,2011,64000,yr,P,2019,10,female,,MA
Admin,46000,yr,2017,47400,yr,HP,2018,5,female,white,BA
other,50625,yr,2015,60781,yr,HP,2019,17,female,mixed,BA
Assistant,19.54,hr,,19.54,hr,C,2019,,male,white,
Registrar,60000,yr,2018,60000,yr,P,2019,,female,white,
Technical,73000,yr,2019,73000,yr,P,2019,5,male,white,MA
Curator,16,hr,2011,18,hr,P,2019,10,female,white,MA
Assistant Director,92000,yr,,,,P,,8,female,white,BA required MA preferred
Assistant,45000,yr,2019,45000,yr,P,2019,1,female,white,BA
Assistant,45000,yr,2019,45000,yr,P,2019,1,female,white,BA
Manager,48000,yr,2017,54000,yr,P,2019,3,male,white,
Conservator,35000,yr,2014,42000,yr,P,2019,5,female,white,MA
Relations,50000,yr,,51500,yr,P,2018,5,female,white,BA
Assistant Registrar,42000,yr,2016,47000,yr,P,2019,5,male,white,MA
Conservator,65000,yr,2009,65000,yr,C,2011,6,female,white,MA
Registrar,40000,yr,2019,40000,yr,P,2019,9,female,mixed,MA
Communications,43500,yr,2014,49000,yr,P,2019,20,female,white,BA
Coordinator,36000,yr,2013,37800,yr,P,2017,6,female,white,MA
Visitor Experience,10,hr,2019,10,hr,H,2019,1,,,
Manager,43000,yr,2013,45407,yr,P,2019,15,female,white,BA required MA preferred
Assistant Director,,,,70191,yr,P,2019,,female,white,
Registrar,46000,yr,2018,,yr,P,2019,,male,,
Security,,,,39985,yr,P,2019,,male,white,
Communications,,,,50501,yr,P,2019,,female,white,
Curator,,,,64515,yr,P,,,female,white,
Curator,,,,73315,yr,P,2019,,female,white,
Registrar,,,,58987,yr,P,2019,13,female,white,
Director,,,,65967,yr,P,2019,,female,white,
Coordinator,44000,yr,2018,44000,yr,P,,,female,white,
Curator,,,,59219,yr,P,2019,,female,white,
Registrar,,,,47951,yr,P,,,male,white,
Director,150000,yr,2018,150000,yr,P,2019,,male,white,
Registrar,9.27,hr,2012,9.27,hr,H,2015,3,,,MA
Visitor Experience,10,hr,2014,2016,yr,H,2016,3,female,,
Manager,,,,50000,yr,HP,,,female,white,BA required MA preferred
Technical,82000,yr,2014,83000,yr,H,2016,10,female,white,
Coordinator,27,hr,2018,27,hr,H,2019,15,male,white,
Curator,16.23,hr,2017,16.39,hr,H,2019,4,male,white,BA
Coordinator,47480,yr,2019,47480,yr,P,2019,3,female,white,MA
Manager,43000,yr,2019,43000,yr,P,2019,12,female,white,
Conservator,56000,yr,2011,87000,yr,P,2019,8,female,white,MA
Assistant,40000,yr,2016,43000,yr,P,2018,3,female,white,BA
Coordinator,40000,yr,2016,46000,yr,P,2018,3,female,white,
Director,67000,yr,2010,69000,yr,P,2016,12,female,,BA
Manager,30000,yr,2019,30000,yr,P,2019,3,,,MA
Education,8,hr,2008,10,hr,C,2019,11,female,mixed,No degree
Registrar,23000,yr,,41000,yr,P Full Time,2019,15,female,white,BA
Coordinator,32500,yr,2017,35000,yr,P,2019,4,female,,BA required MA preferred
Art Handler,25,hr,2015,25,hr,C,2015,0,female,latino,No degree
Academic,55000,yr,2018,55000,yr,,2019,2,male,poc,MA
Coordinator,28500,yr,2019,28500,yr,P Full Time,,,female,white,BA required MA preferred
Communications,60000,yr,,65000,yr,P,2017,6,female,white,BA
Director,80000,yr,,87000,yr,P,2017,,female,,
Curator,18,hr,,,,H,,,,,MA
Assistant Curator,47000,yr,2014,53000,yr,P,2016,,female,white,
Assistant Curator,19,hr,2015,19,hr,C,2017,,female,,
Visitor Experience,13,hr,,14.75,hr,HC,2019,,female,white,
Manager,45000,yr,,67000,yr,P,2019,,,,BA
Assistant Curator,43000,yr,2016,45000,yr,H,2019,0,female,poc,BA
Assistant Curator,52000,yr,,56000,yr,P,,,,,
Manager,60000,yr,,73000,yr,P,,,,white,BA
Manager,65000,yr,2012,72000,yr,P,2017,5,,,
Coordinator,45000,yr,2017,46000,yr,HP,2019,8,,,BA
Technical,22,hr,2019,22,hr,C,2019,,female,white,
Assistant Curator,25.48,hr,2017,26.25,hr,HP,2019,10,female,white,BA
Curator,,,,105033,yr,,2019,35,female,white,MA
Coordinator,42000,yr,2012,50000,yr,HP,2018,9,,,BA
Conservator,,,2013,,,H,2019,20,female,white,MA
Assistant Curator,58471,yr,2017,60226,yr,C,2019,19,female,white,MA
Manager,38000,yr,2017,38000,yr,P,2018,7,female,white,
Communications,20,hr,2018,,yr,H,2018,,female,,BA
Assistant,42000,yr,,,,P,2018,,,,
Assistant,16,hr,,,,H,,4,female,latino,MA
Assistant,37000,yr,2018,,,P,2019,3,,,
Manager,,,,48000,yr,P,2019,,female,,
Director,62000,yr,2014,62000,yr,P,2016,7,female,white,MA
Admin,46537,yr,2017,49371,yr,H,2019,10,,,
Visitor Experience,8.25,hr,,8.25,hr,H Part Time,2014,1,,white,
Visitor Experience,45000,yr,2017,,,P,,,,,
Director,45000,yr,2018,45000,yr,P,2019,5,female,,
Coordinator,16,hr,2019,16,hr,HP,,2,female,white,No degree
Director,1000,yr,2006,156000,yr,P,2019,13,female,white,BA
Consultancy,24000,yr,2017,24000,yr,C,2019,10,male,white,BA
Assistant,43000,yr,,52000,yr,P,,5,,,
Visitor Experience,12.5,hr,2019,,,H,2019,3,other,white,BA
Intern,4800,yr,2013,,,C,2013,,female,white,BA
Manager,24500,yr,2017,28700,yr,H,2019,4,female,white,BA
Education,23500,yr,2014,26000,yr,P,2017,,female,white,BA
Designer,31000,yr,2014,42000,yr,P,2018,8,female,white,BA
Education,12,hr,2018,12,hr,HP,2019,2,female,white,BA
Communications,38500,yr,,38500,yr,P,2018,,female,,
Art Handler,10,hr,2013,15,hr,H,2019,6,female,white,No degree
Assistant Curator,32000,yr,2018,32000,yr,P,2019,2,male,white,BA required MA preferred
Research,29990,yr,2015,38272,yr,H,2019,5,male,white,BA
Education,49500,yr,2018,,,P,,10,female,,MA
Assistant Director,35000,yr,2012,54312,yr,P,2019,12,female,white,MA
Assistant Director,35000,yr,2012,54312,yr,P,2019,12,female,white,MA
Coordinator,30000,yr,2012,50000,yr,,2019,7,,,BA
Conservator,48500,yr,2011,53350,yr,P,2014,8,female,white,MA
Manager,72000,yr,2017,105000,yr,P,2019,5,female,,No degree
Editor,42,hr,2014,42,hr,HC,2019,15,female,white,MA
Assistant,30,hr,,30,hr,H,2019,,female,poc,
Assistant Curator,40000,yr,2013,60000,yr,P,2018,10,female,white,
Manager,115000,yr,,158000,yr,P,2012,20,male,white,
Admin,80000,yr,,118000,yr,P,2018,15,female,white,
Conservator,35000,yr,,107000,yr,P,2019,20,female,white,
Technical,70000,yr,,78000,yr,P,2019,10,female,white,MLIS
Editor,65000,yr,2017,66500,yr,P,2018,5,male,white,
Assistant Educator,62000,yr,,64000,yr,P,2015,10,female,white,
Assistant Curator,63000,yr,,63000,yr,P,2019,14,female,white,PhD
Assistant Educator,62000,yr,,63000,yr,P,2016,,,,
Technical,48000,yr,,63000,yr,P,,,,,
Assistant Curator,62000,yr,,62000,yr,P,2018,,,,
Assistant Educator,58000,yr,,61500,yr,P,2019,8,female,white,MA
Manager,51000,yr,,61000,yr,C,2019,,female,white,
Assistant,27000,yr,,59000,yr,P,2019,15,female,white,
Assistant,54600,yr,,57350,yr,C,2019,,female,,
Assistant,55000,yr,,56000,yr,C,2017,3,female,white,PhD
Coordinator,55000,yr,,55000,yr,,2018,,female,poc,
Assistant Curator,52000,yr,,54500,yr,P,2017,,,,
Editor,44000,yr,2014,53000,yr,P,2016,,female,white,
Assistant,40000,yr,,53000,yr,P,2019,,,,
Assistant,50000,yr,,50000,yr,H,2019,,female,,
Assistant,37500,yr,,50000,yr,P,2019,,,,
Coordinator,45000,yr,,49300,yr,P,2017,,female,latino,
Assistant,42000,yr,2015,42000,yr,C,2017,0,female,white,
Assistant,33000,yr,,36000,yr,,2015,10,female,white,MA
Intern,0,yr,,0,yr,,2018,,,,
Director,32,hr,,82000,yr,P,2016,7,female,white,
other,65000,yr,,74000,yr,P,2019,10,female,white,
Assistant,50000,yr,2018,50000,yr,P,2019,10,,,MA
Technical,100,yr,2014,,,P,,,,,
Assistant Curator,30000,yr,2000,100000,yr,P,2019,22,female,,PhD
Assistant,20,hr,2012,20,hr,H,2013,1,female,,MA
Art Handler,20000,yr,1989,71289,yr,H,2019,32,male,,MA
Assistant Manager,57000,yr,2017,57000,yr,P,2019,2,female,,MA
Assistant,45000,yr,2018,45000,yr,HC,2019,5,female,,MA
Sales,15,hr,2014,15,hr,H,2014,2,female,latino,BA
Assistant Manager,37500,yr,2013,43000,yr,H,2018,7,,,MA
Educator,,,,,yr,,2019,5,,,
Librarian,36000,yr,2009,57000,yr,P,2019,10,,,
Librarian,50500,yr,2014,55223,yr,P,2018,5,female,white,MA
Assistant,66500,yr,2018,66500,yr,H,2019,5,female,white,BA
Curator,38000,yr,2008,58500,yr,P,2019,11,female,white,MA
Assistant Curator,25324,yr,2007,53622,yr,,2019,14,female,white,MA
other,43000,yr,2011,85000,yr,P,2019,10,female,white,BA
Admin,51000,yr,2017,53000,yr,H,2019,5,female,latino,BA
Academic,43000,yr,2017,43000,yr,C,2019,4,,,MA required PhD preferred
Manager,21000,yr,2015,50000,yr,H,2019,4,,,
Assistant Curator,62000,yr,2016,77000,yr,P,2019,10,female,white,MA
Coordinator,65000,yr,2015,65000,yr,P,2015,10,female,,BA
Assistant Curator,70038,yr,2015,74304,yr,P,2019,10,female,white,MA
Manager,88000,yr,,90897,yr,P,2019,15,,white,
Assistant,37000,yr,,42500,yr,H,,,,,
Editorial,56000,yr,,56000,yr,P,,,,,
Curator,,,,,yr,P,2019,19,female,white,PhD
Editor,55000,yr,2014,82800,yr,P,2019,10,male,white,BA
Assistant,60000,yr,2018,60000,yr,H,2019,4,female,,BA required MA preferred
Assistant Curator,62000,yr,2012,79400,yr,P,2019,9,female,white,MA
Curator,53000,yr,2015,58500,yr,P,2018,7,female,poc,MA
